occupation_title,median_annual_wage_2018,typical_entry_level_education,education_code,work_experience,typical_on_the_job_training
Highway maintenance workers    ,39690,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Historians    ,61140,Masters degree,2,None,None
History teachers,74590,Doctoral or professional degree,1,None,None
Hoist and winch operators    ,45490,No formal educational credential,8,None,Short-term on-the-job training
Home appliance repairers    ,39270,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Home economics teachers,71380,Masters degree,2,None,None
Home health aides    ,24200,High school diploma or equivalent,7,None,Short-term on-the-job training
Hosts and hostesses,22160,No formal educational credential,8,None,Short-term on-the-job training
Hotel,23700,High school diploma or equivalent,7,None,Short-term on-the-job training
Human resources assistants,40390,Associates degree,4,None,None
Human resources managers    ,113300,Bachelors degree,3,5 years or more,None
Human resources specialists    ,60880,Bachelors degree,3,None,None
Hydrologists    ,79370,Bachelors degree,3,None,None
Industrial engineering technicians    ,55460,Associates degree,4,None,None
Industrial engineers    ,87040,Bachelors degree,3,None,None
Industrial machinery mechanics    ,52340,High school diploma or equivalent,7,None,Long-term on-the-job training
Industrial production managers    ,103380,Bachelors degree,3,5 years or more,None
Industrial truck and tractor operators    ,34750,No formal educational credential,8,None,Short-term on-the-job training
Industrial-organizational psychologists    ,97260,Masters degree,2,None,Internship/residency
Information and record clerks,40950,High school diploma or equivalent,7,None,Short-term on-the-job training
Information security analysts    ,98350,Bachelors degree,3,Less than 5 years,None
Inspectors,38250,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Installation,39320,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Instructional coordinators    ,64450,Masters degree,2,5 years or more,None
Insulation workers,38480,No formal educational credential,8,None,Short-term on-the-job training
Insulation workers,47740,High school diploma or equivalent,7,None,Apprenticeship
Insurance appraisers,62520,Postsecondary nondegree award,5,None,Moderate-term on-the-job training
Insurance claims and policy processing clerks    ,39660,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Insurance sales agents    ,50600,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Insurance underwriters    ,69380,Bachelors degree,3,None,Moderate-term on-the-job training
Interior designers    ,53370,Bachelors degree,3,None,None
Internists,194500,Doctoral or professional degree,1,None,Internship/residency
Interpreters and translators    ,49930,Bachelors degree,3,None,None
Interviewers,34060,High school diploma or equivalent,7,None,Short-term on-the-job training
Janitors and cleaners,26110,No formal educational credential,8,None,Short-term on-the-job training
Jewelers and precious stone and metal workers    ,39440,High school diploma or equivalent,7,None,Long-term on-the-job training
Judges,133920,Doctoral or professional degree,1,5 years or more,Short-term on-the-job training
Judicial law clerks    ,53540,Doctoral or professional degree,1,None,None
Kindergarten teachers,55470,Bachelors degree,3,None,None
Labor relations specialists    ,67790,Bachelors degree,3,Less than 5 years,None
Laborers and freight,28260,No formal educational credential,8,None,Short-term on-the-job training
Landscape architects    ,68230,Bachelors degree,3,None,Internship/residency
Landscaping and groundskeeping workers    ,29000,No formal educational credential,8,None,Short-term on-the-job training
Lathe and turning machine tool setters,39180,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Laundry and dry-cleaning workers    ,23210,No formal educational credential,8,None,Short-term on-the-job training
Law teachers,111140,Doctoral or professional degree,1,Less than 5 years,None
Lawyers    ,120910,Doctoral or professional degree,1,None,None
Layout workers,47900,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Legal secretaries    ,46360,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Legal support workers,58930,Associates degree,4,None,None
Legislators    ,24670,Bachelors degree,3,Less than 5 years,None
Librarians    ,59050,Masters degree,2,None,None
Library assistants,26500,High school diploma or equivalent,7,None,Short-term on-the-job training
Library science teachers,71560,Doctoral or professional degree,1,None,None
Library technicians    ,34040,Postsecondary nondegree award,5,None,None
Licensed practical and licensed vocational nurses    ,46240,Postsecondary nondegree award,5,None,None
Life scientists,78190,Bachelors degree,3,None,None
Life,49670,Associates degree,4,None,None
Lifeguards,22410,No formal educational credential,8,None,Short-term on-the-job training
Light truck or delivery services drivers    ,32810,High school diploma or equivalent,7,None,Short-term on-the-job training
Loading machine operators,51160,No formal educational credential,8,None,Short-term on-the-job training
Loan interviewers and clerks    ,39890,High school diploma or equivalent,7,None,Short-term on-the-job training
Loan officers    ,63040,Bachelors degree,3,None,Moderate-term on-the-job training
Locker room,24030,High school diploma or equivalent,7,None,Short-term on-the-job training
Locksmiths and safe repairers    ,41450,High school diploma or equivalent,7,None,Long-term on-the-job training
Locomotive engineers    ,62100,High school diploma or equivalent,7,Less than 5 years,Moderate-term on-the-job training
Locomotive firers    ,63820,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Lodging managers    ,53390,High school diploma or equivalent,7,Less than 5 years,None
Log graders and scalers    ,38220,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Logging equipment operators    ,40510,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Logging workers,39750,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Logisticians    ,74600,Bachelors degree,3,None,None
Machine feeders and offbearers    ,29560,No formal educational credential,8,None,Short-term on-the-job training
Machinists    ,43630,High school diploma or equivalent,7,None,Long-term on-the-job training
Magnetic resonance imaging technologists    ,71670,Associates degree,4,Less than 5 years,None
Maids and housekeeping cleaners    ,23770,No formal educational credential,8,None,Short-term on-the-job training
Mail clerks and mail machine operators,30430,High school diploma or equivalent,7,None,Short-term on-the-job training
Maintenance and repair workers,38300,High school diploma or equivalent,7,None,Moderate-term on-the-job training
Maintenance workers,47060,High school diploma or equivalent,7,None,Long-term on-the-job training
Makeup artists,64250,Postsecondary nondegree award,5,None,None
Management analysts    ,83610,Bachelors degree,3,Less than 5 years,None
Managers,107480,Bachelors degree,3,Less than 5 years,None
