state,occupation,employee_count,annual_mean_pay,hourly_mean_pay
AL,Substitute Teachers,8280,19110,9.19
AL,Archivists,80,50790,24.42
AL,Curators,100,54900,26.40
AL,Museum Technicians and Conservators,80,41260,19.84
AL,Librarians,2370,54470,26.19
AL,Library Technicians,780,32410,15.58
AL,Farm and Home Management Advisors,350,56800,27.31
AL,Instructional Coordinators,1610,72270,34.74
AL,Teacher Assistants,9210,21190,
AL,"Education, Training, and Library Workers, All Other",,34730,16.70
AL,"Arts, Design, Entertainment, Sports, and Media Occupations",17700,46220,22.22
AL,Art Directors,230,82670,39.75
AL,Craft Artists,100,33030,15.88
AL,"Fine Artists, Including Painters, Sculptors, and Illustrators",30,,
AL,Multimedia Artists and Animators,130,60060,28.88
AL,"Artists and Related Workers, All Other",50,62150,29.88
AL,Commercial and Industrial Designers,180,65330,31.41
AL,Fashion Designers,,98380,47.30
AL,Floral Designers,640,24230,11.65
AL,Graphic Designers,1610,46960,22.58
AL,Interior Designers,550,57780,27.78
AL,Merchandise Displayers and Window Trimmers,3350,29000,13.94
AL,Set and Exhibit Designers,70,50260,24.16
AL,"Designers, All Other",,22920,11.02
AL,Producers and Directors,730,57040,27.42
AL,Coaches and Scouts,2420,44030,
AL,"Umpires, Referees, and Other Sports Officials",40,20110,
AL,Music Directors and Composers,80,75050,36.08
AL,Musicians and Singers,160,,22.79
AL,"Entertainers and Performers, Sports and Related Workers, All Other",50,,14.63
AL,Radio and Television Announcers,240,31880,15.33
AL,Public Address System and Other Announcers,40,,
AL,Broadcast News Analysts,,102010,49.04
AL,Reporters and Correspondents,480,37770,18.16
AL,Public Relations Specialists,1890,53890,25.91
AL,Editors,550,,
AL,Technical Writers,700,69970,33.64
AL,Writers and Authors,190,58590,28.17
AL,Interpreters and Translators,250,40510,19.47
AL,Audio and Video Equipment Technicians,770,34720,16.69
AL,Broadcast Technicians,370,35690,17.16
AL,Sound Engineering Technicians,60,39140,18.82
AL,Photographers,480,39360,18.92
AL,"Camera Operators, Television, Video, and Motion Picture",90,44610,21.45
AL,Film and Video Editors,80,51480,24.75
AL,"Media and Communication Equipment Workers, All Other",70,60150,28.92
AL,Healthcare Practitioners and Technical Occupations,131000,67090,32.26
AL,Chiropractors,290,86910,41.79
AL,"Dentists, General",1160,171900,82.64
AL,Dietitians and Nutritionists,760,55580,26.72
AL,Optometrists,480,114070,54.84
AL,Pharmacists,4880,122200,58.75
AL,Anesthesiologists,,,
AL,Family and General Practitioners,700,211550,101.71
AL,"Internists, General",200,236850,113.87
AL,Obstetricians and Gynecologists,180,284380,136.72
AL,"Pediatricians, General",410,220910,106.21
AL,Psychiatrists,130,166220,79.91
AL,Surgeons,560,278810,134.05
AL,"Physicians and Surgeons, All Other",4980,183510,88.23
AL,Physician Assistants,750,92880,44.66
AL,Podiatrists,90,148010,71.16
AL,Occupational Therapists,1260,83810,40.29
AL,Physical Therapists,2780,90620,43.57
AL,Radiation Therapists,450,86020,41.36
AL,Recreational Therapists,120,42860,20.61
AL,Respiratory Therapists,2450,50770,24.41
AL,Speech-Language Pathologists,1640,71240,34.25
AL,Exercise Physiologists,70,44900,21.59
AL,"Therapists, All Other",80,43480,20.90
AL,Veterinarians,930,92930,44.68
AL,Registered Nurses,49490,59470,28.59
AL,Nurse Anesthetists,1240,161780,77.78
AL,Nurse Practitioners,3680,95970,46.14
AL,Audiologists,100,72600,34.90
AL,"Health Diagnosing and Treating Practitioners, All Other",110,75360,36.23
AL,Clinical Laboratory Technologists and Technicians,4640,47720,22.94
AL,Dental Hygienists,3490,46500,22.36
AL,Cardiovascular Technologists and Technicians,640,51090,24.56
AL,Diagnostic Medical Sonographers,1200,56450,27.14
AL,Nuclear Medicine Technologists,420,61350,29.49
AL,Radiologic Technologists,3600,47510,22.84
AL,Magnetic Resonance Imaging Technologists,620,59420,28.57
AL,Emergency Medical Technicians and Paramedics,3750,30260,14.55
AL,Dietetic Technicians,190,33370,16.05
AL,Pharmacy Technicians,7140,30040,14.44
AL,Psychiatric Technicians,1150,27390,13.17
AL,Respiratory Therapy Technicians,130,41740,20.07
AL,Surgical Technologists,2220,36630,17.61
AL,Veterinary Technologists and Technicians,1070,31480,15.13
AL,Ophthalmic Medical Technicians,650,36500,17.55
AL,Licensed Practical and Licensed Vocational Nurses,12190,38230,18.38
AL,Medical Records and Health Information Technicians,2830,36470,17.53
AL,"Opticians, Dispensing",980,32660,15.70
AL,Orthotists and Prosthetists,160,61600,29.62
AL,Hearing Aid Specialists,120,54550,26.22
AL,"Health Technologists and Technicians, All Other",990,46230,22.23
AL,Occupational Health and Safety Specialists,1290,71000,34.13
AL,Occupational Health and Safety Technicians,290,49690,23.89
AL,Athletic Trainers,540,41690,
AL,Genetic Counselors,,48800,23.46
AL,"Healthcare Practitioners and Technical Workers, All Other",420,41660,20.03
AL,Healthcare Support Occupations,53630,27440,13.19
AL,Home Health Aides,4870,20780,9.99
