state,occupation,employee_count,annual_mean_pay,hourly_mean_pay
NJ,Computer User Support Specialists,13910,65260,31.38
NJ,Computer Network Support Specialists,6300,84890,40.81
NJ,"Computer Occupations, All Other",9770,99210,47.70
NJ,Actuaries,540,111580,53.65
NJ,Mathematicians,270,117060,56.28
NJ,Operations Research Analysts,3000,106820,51.35
NJ,Statisticians,1230,116090,55.81
NJ,Miscellaneous Mathematical Science Occupations,150,80730,38.81
NJ,Architecture and Engineering Occupations,51020,94750,45.55
NJ,"Architects, Except Landscape and Naval",2650,83590,40.19
NJ,Landscape Architects,310,76460,36.76
NJ,Cartographers and Photogrammetrists,200,84120,40.44
NJ,Surveyors,1140,70120,33.71
NJ,Aerospace Engineers,1840,115850,55.70
NJ,Biomedical Engineers,210,113140,54.39
NJ,Chemical Engineers,1430,122210,58.76
NJ,Civil Engineers,8020,103760,49.88
NJ,Computer Hardware Engineers,960,115090,55.33
NJ,Electrical Engineers,3590,118120,56.79
NJ,"Electronics Engineers, Except Computer",3160,113560,54.60
NJ,Environmental Engineers,1230,88360,42.48
NJ,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",540,106080,51.00
NJ,Industrial Engineers,4800,98050,47.14
NJ,Marine Engineers and Naval Architects,140,93770,45.08
NJ,Materials Engineers,500,90740,43.62
NJ,Mechanical Engineers,5090,95680,46.00
NJ,Petroleum Engineers,,194340,93.43
NJ,"Engineers, All Other",3470,114990,55.28
NJ,Architectural and Civil Drafters,2510,58840,28.29
NJ,Electrical and Electronics Drafters,570,69950,33.63
NJ,Mechanical Drafters,1040,68200,32.79
NJ,"Drafters, All Other",250,54950,26.42
NJ,Aerospace Engineering and Operations Technicians,,67780,32.59
NJ,Civil Engineering Technicians,910,59780,28.74
NJ,Electrical and Electronics Engineering Technicians,2580,68740,33.05
NJ,Electro-Mechanical Technicians,220,59660,28.68
NJ,Environmental Engineering Technicians,470,46630,22.42
NJ,Industrial Engineering Technicians,760,58600,28.17
NJ,Mechanical Engineering Technicians,370,55090,26.48
NJ,"Engineering Technicians, Except Drafters, All Other",950,75380,36.24
NJ,Surveying and Mapping Technicians,,49800,23.94
NJ,"Life, Physical, and Social Science Occupations",37160,99170,47.68
NJ,Food Scientists and Technologists,1180,78560,37.77
NJ,Soil and Plant Scientists,60,71730,34.49
NJ,Biochemists and Biophysicists,6350,145180,69.80
NJ,Microbiologists,550,81720,39.29
NJ,Zoologists and Wildlife Biologists,130,66700,32.07
NJ,"Biological Scientists, All Other",370,76330,36.70
NJ,Conservation Scientists,310,85360,41.04
NJ,Foresters,30,76760,36.91
NJ,Epidemiologists,110,94450,45.41
NJ,"Medical Scientists, Except Epidemiologists",2960,145300,69.86
NJ,"Life Scientists, All Other",300,85790,41.25
NJ,Physicists,370,134280,64.56
NJ,Atmospheric and Space Scientists,220,95560,45.94
NJ,Chemists,7460,96100,46.20
NJ,Materials Scientists,200,104530,50.26
NJ,"Environmental Scientists and Specialists, Including Health",2670,80350,38.63
NJ,"Geoscientists, Except Hydrologists and Geographers",220,98050,47.14
NJ,Hydrologists,90,109910,52.84
NJ,"Physical Scientists, All Other",510,96850,46.56
NJ,Economists,180,100500,48.32
NJ,Survey Researchers,480,76040,36.56
NJ,"Clinical, Counseling, and School Psychologists",3760,98470,47.34
NJ,Industrial-Organizational Psychologists,30,119700,57.55
NJ,Sociologists,40,106470,51.19
NJ,Urban and Regional Planners,440,74120,35.64
NJ,Anthropologists and Archeologists,,64950,31.23
NJ,Historians,80,76320,36.69
NJ,"Social Scientists and Related Workers, All Other",460,88350,42.47
NJ,Agricultural and Food Science Technicians,400,58440,28.10
NJ,Biological Technicians,770,54530,26.22
NJ,Chemical Technicians,3510,60720,29.19
NJ,Geological and Petroleum Technicians,310,,
NJ,Social Science Research Assistants,110,58480,28.11
NJ,"Environmental Science and Protection Technicians, Including Health",650,45720,21.98
NJ,Forensic Science Technicians,100,62700,30.14
NJ,"Life, Physical, and Social Science Technicians, All Other",1440,60660,29.16
NJ,Community and Social Service Occupations,69550,54120,26.02
NJ,"Educational, Guidance, School, and Vocational Counselors",7090,72050,34.64
NJ,Marriage and Family Therapists,4150,72380,34.80
NJ,Rehabilitation Counselors,920,65350,31.42
NJ,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",8600,58410,28.08
NJ,"Counselors, All Other",1320,62860,30.22
NJ,"Child, Family, and School Social Workers",5060,67700,32.55
NJ,Healthcare Social Workers,3120,64570,31.04
NJ,Mental Health and Substance Abuse Social Workers,1710,79130,38.04
NJ,"Social Workers, All Other",500,68630,33.00
NJ,Health Educators,530,61110,29.38
NJ,Probation Officers and Correctional Treatment Specialists,2790,73810,35.48
NJ,Social and Human Service Assistants,27220,36470,17.54
NJ,Community Health Workers,1250,51560,24.79
NJ,"Community and Social Service Specialists, All Other",3460,57490,27.64
NJ,Clergy,1260,59180,28.45
NJ,"Directors, Religious Activities and Education",250,63240,30.41
NJ,"Religious Workers, All Other",320,27930,13.43
NJ,Legal Occupations,33750,111510,53.61
NJ,Lawyers,21070,139020,66.84
NJ,Judicial Law Clerks,550,51160,24.60
NJ,"Administrative Law Judges, Adjudicators, and Hearing Officers",300,111660,53.68
NJ,"Arbitrators, Mediators, and Conciliators",120,98930,47.56
NJ,"Judges, Magistrate Judges, and Magistrates",1020,126760,60.94
NJ,Paralegals and Legal Assistants,8120,58260,28.01
NJ,Court Reporters,140,66930,32.18
NJ,"Title Examiners, Abstractors, and Searchers",1710,56870,27.34
NJ,"Legal Support Workers, All Other",720,71920,34.58
NJ,"Education, Training, and Library Occupations",292700,60360,29.02
NJ,"Business Teachers, Postsecondary",2510,111740,
NJ,"Computer Science Teachers, Postsecondary",1390,105890,
NJ,"Mathematical Science Teachers, Postsecondary",1690,96400,
NJ,"Architecture Teachers, Postsecondary",220,,
NJ,"Engineering Teachers, Postsecondary",1270,,
NJ,"Agricultural Sciences Teachers, Postsecondary",80,,
NJ,"Biological Science Teachers, Postsecondary",1540,104140,
NJ,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",110,101940,
NJ,"Chemistry Teachers, Postsecondary",830,,
NJ,"Environmental Science Teachers, Postsecondary",160,103650,
NJ,"Physics Teachers, Postsecondary",460,113400,
NJ,"Anthropology and Archeology Teachers, Postsecondary",190,100800,
NJ,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",330,,
NJ,"Economics Teachers, Postsecondary",340,117220,
NJ,"Geography Teachers, Postsecondary",50,109020,
NJ,"Political Science Teachers, Postsecondary",640,,
NJ,"Psychology Teachers, Postsecondary",1150,99670,
NJ,"Sociology Teachers, Postsecondary",480,94620,
NJ,"Social Sciences Teachers, Postsecondary, All Other",230,100810,
NJ,"Health Specialties Teachers, Postsecondary",4420,109190,
NJ,"Nursing Instructors and Teachers, Postsecondary",2000,89950,
NJ,"Education Teachers, Postsecondary",1400,88870,
NJ,"Library Science Teachers, Postsecondary",140,76200,
NJ,"Criminal Justice and Law Enforcement Teachers, Postsecondary",470,87300,
NJ,"Law Teachers, Postsecondary",,138360,
NJ,"Social Work Teachers, Postsecondary",560,80810,
NJ,"Art, Drama, and Music Teachers, Postsecondary",2070,90750,
NJ,"Communications Teachers, Postsecondary",940,92200,
NJ,"English Language and Literature Teachers, Postsecondary",2420,86360,
NJ,"Foreign Language and Literature Teachers, Postsecondary",630,92110,
NJ,"History Teachers, Postsecondary",750,91270,
NJ,"Philosophy and Religion Teachers, Postsecondary",520,84620,
NJ,Graduate Teaching Assistants,2600,36390,
NJ,"Recreation and Fitness Studies Teachers, Postsecondary",260,70760,
NJ,"Vocational Education Teachers, Postsecondary",2720,60230,28.96
NJ,"Postsecondary Teachers, All Other",2670,73660,
NJ,"Preschool Teachers, Except Special Education",15820,40880,19.65
NJ,"Kindergarten Teachers, Except Special Education",5120,67400,
NJ,"Elementary School Teachers, Except Special Education",41600,70660,
NJ,"Middle School Teachers, Except Special and Career/Technical Education",24980,72290,
NJ,"Secondary School Teachers, Except Special and Career/Technical Education",29140,76390,
NJ,"Career/Technical Education Teachers, Secondary School",2260,71630,
NJ,"Special Education Teachers, Preschool",250,66890,
NJ,"Special Education Teachers, Kindergarten and Elementary School",12110,70630,
NJ,"Special Education Teachers, Middle School",6850,71850,
NJ,"Special Education Teachers, Secondary School",6290,75970,
NJ,"Special Education Teachers, All Other",2340,65380,
NJ,Adult Basic and Secondary Education and Literacy Teachers and Instructors,870,66370,31.91
NJ,Self-Enrichment Education Teachers,8560,56620,27.22
NJ,"Teachers and Instructors, All Other, Except Substitute Teachers",7940,42320,
NJ,Substitute Teachers,20470,31580,15.18
NJ,Archivists,,67110,32.26
NJ,Curators,120,75750,36.42
NJ,Museum Technicians and Conservators,50,57510,27.65
NJ,Librarians,4510,67700,32.55
NJ,Library Technicians,2420,37350,17.95
NJ,Farm and Home Management Advisors,80,79330,38.14
NJ,Instructional Coordinators,4100,75980,36.53
NJ,Teacher Assistants,55130,29150,
NJ,"Education, Training, and Library Workers, All Other",2820,60990,29.32
NJ,"Arts, Design, Entertainment, Sports, and Media Occupations",47900,61130,29.39
NJ,Art Directors,1030,104820,50.40
NJ,Craft Artists,70,44920,21.60
NJ,"Fine Artists, Including Painters, Sculptors, and Illustrators",140,62840,30.21
NJ,Multimedia Artists and Animators,490,79850,38.39
NJ,"Artists and Related Workers, All Other",230,48460,23.30
NJ,Commercial and Industrial Designers,1020,85000,40.86
NJ,Fashion Designers,290,69640,33.48
NJ,Floral Designers,850,34010,16.35
NJ,Graphic Designers,5980,59140,28.44
NJ,Interior Designers,1440,57980,27.88
NJ,Merchandise Displayers and Window Trimmers,3040,33780,16.24
NJ,Set and Exhibit Designers,130,57370,27.58
NJ,"Designers, All Other",200,56880,27.35
NJ,Producers and Directors,1580,92180,44.32
NJ,Athletes and Sports Competitors,90,65430,
NJ,Coaches and Scouts,8720,51290,
NJ,"Umpires, Referees, and Other Sports Officials",290,39490,
NJ,Dancers,340,,
NJ,Choreographers,40,55680,26.77
NJ,Music Directors and Composers,410,73320,35.25
NJ,Musicians and Singers,1080,,34.10
NJ,"Entertainers and Performers, Sports and Related Workers, All Other",440,,16.27
NJ,Radio and Television Announcers,220,,
NJ,Public Address System and Other Announcers,130,57450,27.62
NJ,Broadcast News Analysts,340,44660,21.47
NJ,Reporters and Correspondents,590,61180,29.42
NJ,Public Relations Specialists,3850,75670,36.38
NJ,Editors,3130,74130,35.64
NJ,Technical Writers,1830,84280,40.52
NJ,Writers and Authors,1050,81160,39.02
NJ,Interpreters and Translators,540,74750,35.94
NJ,"Media and Communication Workers, All Other",680,59330,28.53
NJ,Audio and Video Equipment Technicians,2240,53950,25.94
NJ,Broadcast Technicians,550,54960,26.42
NJ,Sound Engineering Technicians,430,55570,26.72
NJ,Photographers,1400,35840,17.23
NJ,"Camera Operators, Television, Video, and Motion Picture",490,62690,30.14
NJ,Film and Video Editors,590,87150,41.90
NJ,"Media and Communication Equipment Workers, All Other",480,50720,24.38
NJ,Healthcare Practitioners and Technical Occupations,236330,93760,45.08
NJ,Chiropractors,870,114010,54.81
NJ,"Dentists, General",3670,169990,81.73
NJ,Orthodontists,180,274400,131.92
NJ,"Dentists, All Other Specialists",220,212150,102.00
NJ,Dietitians and Nutritionists,1860,68810,33.08
NJ,Optometrists,1160,114630,55.11
NJ,Pharmacists,9280,120660,58.01
NJ,Anesthesiologists,930,,
NJ,Family and General Practitioners,1890,224640,108.00
NJ,"Internists, General",1000,249200,119.81
NJ,Obstetricians and Gynecologists,,267990,128.84
NJ,"Pediatricians, General",1280,188880,90.81
NJ,Psychiatrists,1010,245990,118.26
NJ,Surgeons,1310,285850,137.43
NJ,"Physicians and Surgeons, All Other",15380,208820,100.40
NJ,Physician Assistants,2810,116270,55.90
NJ,Podiatrists,410,132320,63.62
NJ,Occupational Therapists,5380,96600,46.44
NJ,Physical Therapists,7560,97770,47.01
NJ,Radiation Therapists,420,107850,51.85
NJ,Recreational Therapists,470,58220,27.99
NJ,Respiratory Therapists,3090,73390,35.28
NJ,Speech-Language Pathologists,6340,95000,45.67
NJ,Exercise Physiologists,130,51280,24.65
NJ,Veterinarians,1730,120700,58.03
NJ,Registered Nurses,79530,82750,39.78
NJ,Nurse Anesthetists,,189150,90.94
NJ,Nurse Midwives,180,113980,54.80
NJ,Nurse Practitioners,5900,122100,58.70
NJ,Audiologists,380,87160,41.90
NJ,"Health Diagnosing and Treating Practitioners, All Other",1210,89220,42.89
NJ,Clinical Laboratory Technologists and Technicians,7720,63720,30.63
NJ,Dental Hygienists,6290,85860,41.28
NJ,Cardiovascular Technologists and Technicians,670,75130,36.12
NJ,Diagnostic Medical Sonographers,2840,77110,37.07
NJ,Nuclear Medicine Technologists,580,91690,44.08
NJ,Radiologic Technologists,5750,66730,32.08
NJ,Magnetic Resonance Imaging Technologists,1090,81650,39.25
NJ,Emergency Medical Technicians and Paramedics,8230,37460,18.01
NJ,Dietetic Technicians,440,34760,16.71
NJ,Pharmacy Technicians,9570,33070,15.90
NJ,Psychiatric Technicians,420,45870,22.05
NJ,Respiratory Therapy Technicians,60,64260,30.90
NJ,Surgical Technologists,2060,53740,25.84
NJ,Veterinary Technologists and Technicians,3080,37630,18.09
NJ,Ophthalmic Medical Technicians,,45420,21.84
NJ,Licensed Practical and Licensed Vocational Nurses,17490,56290,27.06
NJ,Medical Records and Health Information Technicians,2640,54020,25.97
NJ,"Opticians, Dispensing",1750,56780,27.30
NJ,Orthotists and Prosthetists,160,70900,34.09
NJ,Hearing Aid Specialists,140,52560,25.27
NJ,"Health Technologists and Technicians, All Other",2790,53570,25.76
NJ,Occupational Health and Safety Specialists,2240,80990,38.94
NJ,Occupational Health and Safety Technicians,300,65210,31.35
NJ,Athletic Trainers,880,51890,
NJ,Genetic Counselors,80,85420,41.07
NJ,"Healthcare Practitioners and Technical Workers, All Other",250,94870,45.61
NJ,Healthcare Support Occupations,158300,31940,15.36
NJ,Home Health Aides,41040,24450,11.75
NJ,Psychiatric Aides,2290,38910,18.71
NJ,Nursing Assistants,56500,30380,14.61
NJ,Orderlies,2800,31000,14.91
NJ,Occupational Therapy Assistants,680,69530,33.43
NJ,Occupational Therapy Aides,110,29330,14.10
NJ,Physical Therapist Assistants,1610,68000,32.69
NJ,Physical Therapist Aides,3190,27480,13.21
NJ,Massage Therapists,2730,44610,21.45
NJ,Dental Assistants,11010,43110,20.73
NJ,Medical Assistants,19110,35840,17.23
NJ,Medical Equipment Preparers,2810,39420,18.95
NJ,Medical Transcriptionists,900,44200,21.25
NJ,Pharmacy Aides,,25490,12.25
NJ,Veterinary Assistants and Laboratory Animal Caretakers,1820,29960,14.40
NJ,Phlebotomists,4890,38090,18.31
NJ,"Healthcare Support Workers, All Other",6080,36540,17.57
NJ,Protective Service Occupations,109980,57570,27.68
NJ,First-Line Supervisors of Correctional Officers,630,105690,50.81
NJ,First-Line Supervisors of Police and Detectives,5650,130490,62.74
NJ,First-Line Supervisors of Fire Fighting and Prevention Workers,1600,115590,55.57
NJ,"First-Line Supervisors of Protective Service Workers, All Other",2110,59750,28.73
NJ,Firefighters,5590,76530,36.80
NJ,Fire Inspectors and Investigators,1190,55890,26.87
NJ,Bailiffs,80,52490,25.24
NJ,Correctional Officers and Jailers,11240,70280,33.79
NJ,Detectives and Criminal Investigators,3130,102600,49.33
NJ,Parking Enforcement Workers,440,37230,17.90
NJ,Police and Sheriff's Patrol Officers,19950,83720,40.25
NJ,Transit and Railroad Police,460,84870,40.80
NJ,Animal Control Workers,330,41150,19.78
NJ,Private Detectives and Investigators,740,64250,30.89
NJ,Gaming Surveillance Officers and Gaming Investigators,90,39640,19.06
NJ,Security Guards,39000,32250,15.51
NJ,Crossing Guards,5740,32920,15.83
NJ,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",4770,25620,12.32
NJ,Transportation Security Screeners,1200,44370,21.33
NJ,"Protective Service Workers, All Other",5970,31730,15.26
NJ,Food Preparation and Serving Related Occupations,307540,27300,13.13
NJ,Chefs and Head Cooks,2640,70260,33.78
NJ,First-Line Supervisors of Food Preparation and Serving Workers,20170,44120,21.21
NJ,"Cooks, Fast Food",8800,23410,11.26
NJ,"Cooks, Institution and Cafeteria",7010,34050,16.37
NJ,"Cooks, Restaurant",20720,33200,15.96
NJ,"Cooks, Short Order",10760,25030,12.03
NJ,"Cooks, All Other",260,33990,16.34
NJ,Food Preparation Workers,32960,24450,11.75
NJ,Bartenders,17360,29600,14.23
NJ,"Combined Food Preparation and Serving Workers, Including Fast Food",45320,23150,11.13
NJ,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",35460,21800,10.48
NJ,Waiters and Waitresses,58820,27530,13.23
NJ,"Food Servers, Nonrestaurant",11920,25190,12.11
NJ,Dining Room and Cafeteria Attendants and Bartender Helpers,13310,24160,11.62
NJ,Dishwashers,9480,22630,10.88
NJ,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",10430,24280,11.67
NJ,"Food Preparation and Serving Related Workers, All Other",2110,27750,13.34
NJ,Building and Grounds Cleaning and Maintenance Occupations,126130,32220,15.49
NJ,First-Line Supervisors of Housekeeping and Janitorial Workers,4130,47010,22.60
NJ,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",2270,56990,27.40
NJ,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",67380,31700,15.24
NJ,Maids and Housekeeping Cleaners,20110,26190,12.59
NJ,"Building Cleaning Workers, All Other",,41150,19.78
NJ,Pest Control Workers,1670,39840,19.15
NJ,Landscaping and Groundskeeping Workers,28690,32700,15.72
NJ,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",180,36970,17.78
NJ,Tree Trimmers and Pruners,230,48990,23.55
NJ,"Grounds Maintenance Workers, All Other",,34640,16.66
NJ,Personal Care and Service Occupations,121810,32540,15.65
NJ,First-Line Supervisors of Gaming Workers,730,,
NJ,First-Line Supervisors of Personal Service Workers,6380,45850,22.04
NJ,Animal Trainers,310,33740,16.22
NJ,Nonfarm Animal Caretakers,5570,26700,12.84
NJ,Gaming Dealers,3530,,
NJ,Gaming and Sports Book Writers and Runners,,33980,16.34
NJ,"Gaming Service Workers, All Other",,29950,14.40
NJ,Motion Picture Projectionists,420,29540,14.20
NJ,"Ushers, Lobby Attendants, and Ticket Takers",2630,23480,11.29
NJ,Amusement and Recreation Attendants,8290,23350,11.22
NJ,Costume Attendants,,25050,12.05
NJ,"Locker Room, Coatroom, and Dressing Room Attendants",480,24650,11.85
NJ,"Entertainment Attendants and Related Workers, All Other",110,34720,16.69
NJ,Funeral Attendants,500,35150,16.90
NJ,"Morticians, Undertakers, and Funeral Directors",560,72250,34.73
NJ,Barbers,,32710,15.73
NJ,"Hairdressers, Hairstylists, and Cosmetologists",17400,37230,17.90
NJ,Manicurists and Pedicurists,7210,24520,11.79
NJ,Shampooers,1860,22370,10.75
NJ,Skincare Specialists,2280,35620,17.13
NJ,Baggage Porters and Bellhops,770,23590,11.34
NJ,Concierges,1170,29420,14.14
NJ,Tour and Travel Guides,650,31560,15.17
NJ,Childcare Workers,18490,26450,12.72
NJ,Personal Care Aides,14470,29890,14.37
NJ,Fitness Trainers and Aerobics Instructors,11310,54200,26.06
NJ,Recreation Workers,11690,29530,14.20
NJ,Residential Advisors,740,35410,17.02
NJ,"Personal Care and Service Workers, All Other",2670,27850,13.39
NJ,Sales and Related Occupations,408780,46390,22.30
NJ,First-Line Supervisors of Retail Sales Workers,30250,52570,25.27
NJ,First-Line Supervisors of Non-Retail Sales Workers,6400,92700,44.57
NJ,Cashiers,99360,23390,11.24
NJ,Gaming Change Persons and Booth Cashiers,320,,
NJ,Counter and Rental Clerks,7970,37290,17.93
NJ,Parts Salespersons,4810,37590,18.07
NJ,Retail Salespersons,131210,29180,14.03
NJ,Advertising Sales Agents,2640,84160,40.46
NJ,Insurance Sales Agents,10350,76160,36.62
NJ,"Securities, Commodities, and Financial Services Sales Agents",15440,98850,47.52
NJ,Travel Agents,2120,49330,23.72
NJ,"Sales Representatives, Services, All Other",35360,80470,38.69
NJ,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",3370,95720,46.02
NJ,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",42800,79290,38.12
NJ,Demonstrators and Product Promoters,2100,36820,17.70
NJ,Models,,55110,26.50
NJ,Real Estate Brokers,530,,
NJ,Real Estate Sales Agents,2570,63790,30.67
NJ,Sales Engineers,1580,104590,50.28
NJ,Telemarketers,3440,30120,14.48
NJ,"Sales and Related Workers, All Other",6020,55120,26.50
NJ,Office and Administrative Support Occupations,644040,41700,20.05
NJ,First-Line Supervisors of Office and Administrative Support Workers,40100,62910,30.24
NJ,"Switchboard Operators, Including Answering Service",2050,32830,15.78
NJ,Telephone Operators,80,,
NJ,Bill and Account Collectors,5210,45260,21.76
NJ,Billing and Posting Clerks,18630,42710,20.53
NJ,"Bookkeeping, Accounting, and Auditing Clerks",43380,46860,22.53
NJ,Gaming Cage Workers,,29630,14.25
NJ,Payroll and Timekeeping Clerks,4130,47450,22.81
NJ,Procurement Clerks,3380,45600,21.93
NJ,Tellers,13380,32950,15.84
NJ,"Financial Clerks, All Other",1480,45270,21.76
NJ,Brokerage Clerks,2800,59240,28.48
NJ,Correspondence Clerks,170,45370,21.81
NJ,"Court, Municipal, and License Clerks",4760,49060,23.58
NJ,"Credit Authorizers, Checkers, and Clerks",1660,44500,21.40
NJ,Customer Service Representatives,68260,40330,19.39
NJ,"Eligibility Interviewers, Government Programs",740,48880,23.50
NJ,File Clerks,8070,33740,16.22
NJ,"Hotel, Motel, and Resort Desk Clerks",3740,25390,12.21
NJ,"Interviewers, Except Eligibility and Loan",6930,37040,17.81
NJ,"Library Assistants, Clerical",2810,31850,15.31
NJ,Loan Interviewers and Clerks,5270,45770,22.01
NJ,New Accounts Clerks,870,42970,20.66
NJ,Order Clerks,4690,37950,18.25
NJ,"Human Resources Assistants, Except Payroll and Timekeeping",4820,43780,21.05
NJ,Receptionists and Information Clerks,54490,33120,15.93
NJ,Reservation and Transportation Ticket Agents and Travel Clerks,3100,51790,24.90
NJ,"Information and Record Clerks, All Other",4210,47380,22.78
NJ,Cargo and Freight Agents,3270,56470,27.15
NJ,Couriers and Messengers,1580,33620,16.16
NJ,"Police, Fire, and Ambulance Dispatchers",3940,47480,22.83
NJ,"Dispatchers, Except Police, Fire, and Ambulance",6010,43720,21.02
NJ,"Meter Readers, Utilities",1180,,
NJ,Postal Service Clerks,2590,53750,25.84
NJ,Postal Service Mail Carriers,10390,52890,25.43
NJ,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",4860,52420,25.20
NJ,"Production, Planning, and Expediting Clerks",7900,50860,24.45
NJ,"Shipping, Receiving, and Traffic Clerks",19420,36480,17.54
NJ,Stock Clerks and Order Fillers,68040,28900,13.90
NJ,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2950,39190,18.84
NJ,Executive Secretaries and Executive Administrative Assistants,17940,68360,32.86
NJ,Legal Secretaries,9020,50660,24.36
NJ,Medical Secretaries,11120,42670,20.51
NJ,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",62790,42600,20.48
NJ,Computer Operators,2120,45130,21.70
NJ,Data Entry Keyers,8360,39760,19.12
NJ,Word Processors and Typists,3890,42740,20.55
NJ,Desktop Publishers,320,47800,22.98
NJ,Insurance Claims and Policy Processing Clerks,9300,47180,22.68
NJ,"Mail Clerks and Mail Machine Operators, Except Postal Service",2720,33930,16.31
NJ,"Office Clerks, General",67480,35450,17.04
NJ,"Office Machine Operators, Except Computer",2530,32840,15.79
NJ,Proofreaders and Copy Markers,290,48170,23.16
NJ,Statistical Assistants,30,51020,24.53
NJ,"Office and Administrative Support Workers, All Other",4710,,
NJ,"Farming, Fishing, and Forestry Occupations",3680,30660,14.74
NJ,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",230,46140,22.18
NJ,Agricultural Inspectors,100,59590,28.65
NJ,Animal Breeders,,44920,21.60
NJ,"Graders and Sorters, Agricultural Products",100,31790,15.28
NJ,Agricultural Equipment Operators,180,24560,11.81
NJ,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",2400,27810,13.37
NJ,"Farmworkers, Farm, Ranch, and Aquacultural Animals",280,27210,13.08
NJ,"Agricultural Workers, All Other",,25040,12.04
NJ,Forest and Conservation Workers,160,37320,17.94
NJ,Construction and Extraction Occupations,121250,62240,29.92
NJ,First-Line Supervisors of Construction Trades and Extraction Workers,7110,77130,37.08
NJ,Boilermakers,370,68640,33.00
NJ,Brickmasons and Blockmasons,1300,71320,34.29
NJ,Stonemasons,,54890,26.39
NJ,Carpenters,15960,63230,30.40
NJ,Carpet Installers,570,52230,25.11
NJ,"Floor Layers, Except Carpet, Wood, and Hard Tiles",,90330,43.43
NJ,Floor Sanders and Finishers,,50360,24.21
NJ,Tile and Marble Setters,1080,64740,31.12
NJ,Cement Masons and Concrete Finishers,3530,60410,29.04
NJ,Construction Laborers,23900,53540,25.74
NJ,"Paving, Surfacing, and Tamping Equipment Operators",1020,49540,23.82
NJ,Pile-Driver Operators,90,,
NJ,Operating Engineers and Other Construction Equipment Operators,5340,75150,36.13
NJ,Drywall and Ceiling Tile Installers,2010,54200,26.06
NJ,Electricians,18020,71660,34.45
NJ,Glaziers,790,69530,33.43
NJ,"Insulation Workers, Floor, Ceiling, and Wall",400,36240,17.42
NJ,"Insulation Workers, Mechanical",60,71070,34.17
NJ,"Painters, Construction and Maintenance",4420,55180,26.53
NJ,Pipelayers,390,64850,31.18
NJ,"Plumbers, Pipefitters, and Steamfitters",9330,71370,34.32
NJ,Plasterers and Stucco Masons,150,51340,24.68
NJ,Reinforcing Iron and Rebar Workers,440,82930,39.87
NJ,Roofers,1440,58870,28.30
NJ,Sheet Metal Workers,2430,61790,29.71
NJ,Structural Iron and Steel Workers,1480,86340,41.51
NJ,Solar Photovoltaic Installers,760,55140,26.51
NJ,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",580,41240,19.83
NJ,Helpers--Carpenters,770,32270,15.51
NJ,Helpers--Electricians,1470,36490,17.54
NJ,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",,39950,19.21
NJ,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",700,35110,16.88
NJ,"Helpers, Construction Trades, All Other",190,34990,16.82
NJ,Construction and Building Inspectors,4600,64920,31.21
NJ,Elevator Installers and Repairers,600,72980,35.09
NJ,Fence Erectors,560,33920,16.31
NJ,Hazardous Materials Removal Workers,1080,56860,27.34
NJ,Highway Maintenance Workers,4130,44550,21.42
NJ,Rail-Track Laying and Maintenance Equipment Operators,450,57880,27.83
NJ,Septic Tank Servicers and Sewer Pipe Cleaners,880,56060,26.95
NJ,Miscellaneous Construction and Related Workers,960,47340,22.76
NJ,"Earth Drillers, Except Oil and Gas",640,60610,29.14
NJ,Helpers--Extraction Workers,110,38770,18.64
NJ,"Installation, Maintenance, and Repair Occupations",137090,54860,26.38
NJ,"First-Line Supervisors of Mechanics, Installers, and Repairers",12620,75700,36.39
NJ,"Computer, Automated Teller, and Office Machine Repairers",3640,47390,22.78
NJ,"Radio, Cellular, and Tower Equipment Installers and Repairers",490,66310,31.88
NJ,"Telecommunications Equipment Installers and Repairers, Except Line Installers",4410,66170,31.81
NJ,Avionics Technicians,310,71360,34.31
NJ,"Electric Motor, Power Tool, and Related Repairers",270,49380,23.74
NJ,"Electrical and Electronics Installers and Repairers, Transportation Equipment",510,59930,28.81
NJ,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",1870,61630,29.63
NJ,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",450,85660,41.18
