st,occupation,tot_emp,hr_mean,avg_mean
NE,Computer Network Support Specialists,"2,150",26.87,"55,890"
NE,"Computer Occupations, All Other","2,980",41.46,"86,230"
NE,Actuaries,390,51.26,"106,630"
NE,Operations Research Analysts,920,29.82,"62,030"
NE,Statisticians,280,32.25,"67,080"
NE,Architecture and Engineering Occupations,"12,400",35.21,"73,250"
NE,"Architects, Except Landscape and Naval",650,41.54,"86,410"
NE,Landscape Architects,120,28.10,"58,450"
NE,Cartographers and Photogrammetrists,50,32.77,"68,150"
NE,Surveyors,270,26.32,"54,750"
NE,Aerospace Engineers,150,55.35,"115,120"
NE,Biomedical Engineers,60,39.68,"82,540"
NE,Chemical Engineers,120,43.56,"90,600"
NE,Civil Engineers,"1,740",40.50,"84,240"
NE,Computer Hardware Engineers,140,*,*
NE,Electrical Engineers,730,43.36,"90,180"
NE,"Electronics Engineers, Except Computer",250,40.77,"84,810"
NE,Environmental Engineers,320,43.43,"90,320"
NE,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",80,41.10,"85,490"
NE,Industrial Engineers,"1,220",41.32,"85,950"
NE,Materials Engineers,120,39.29,"81,710"
NE,Mechanical Engineers,"1,210",38.78,"80,650"
NE,Nuclear Engineers,140,49.70,"103,370"
NE,"Engineers, All Other",520,39.79,"82,760"
NE,Architectural and Civil Drafters,720,24.17,"50,270"
NE,Electrical and Electronics Drafters,150,27.17,"56,520"
NE,Mechanical Drafters,640,24.09,"50,100"
NE,"Drafters, All Other",70,25.70,"53,460"
NE,Civil Engineering Technicians,410,26.21,"54,520"
NE,Electrical and Electronics Engineering Technicians,550,28.47,"59,220"
NE,Electro-Mechanical Technicians,90,27.60,"57,420"
NE,Environmental Engineering Technicians,120,25.58,"53,200"
NE,Industrial Engineering Technicians,410,25.15,"52,320"
NE,Mechanical Engineering Technicians,200,26.96,"56,070"
NE,"Engineering Technicians, Except Drafters, All Other",620,27.71,"57,630"
NE,Surveying and Mapping Technicians,430,21.89,"45,530"
NE,"Life, Physical, and Social Science Occupations","6,980",30.22,"62,850"
NE,Animal Scientists,40,44.78,"93,140"
NE,Food Scientists and Technologists,300,34.66,"72,100"
NE,Soil and Plant Scientists,580,27.56,"57,320"
NE,Microbiologists,180,30.95,"64,380"
NE,Zoologists and Wildlife Biologists,170,28.87,"60,060"
NE,"Biological Scientists, All Other",150,35.96,"74,790"
NE,Conservation Scientists,210,31.40,"65,300"
NE,Foresters,40,29.58,"61,530"
NE,Epidemiologists,40,*,*
NE,"Medical Scientists, Except Epidemiologists",620,39.96,"83,110"
NE,Atmospheric and Space Scientists,120,43.27,"89,990"
NE,Chemists,370,38.34,"79,740"
NE,"Environmental Scientists and Specialists, Including Health",340,29.34,"61,020"
NE,"Geoscientists, Except Hydrologists and Geographers",60,38.25,"79,570"
NE,Hydrologists,50,30.50,"63,440"
NE,Economists,30,38.95,"81,010"
NE,Survey Researchers,260,16.45,"34,230"
NE,"Clinical, Counseling, and School Psychologists",590,31.98,"66,510"
NE,Urban and Regional Planners,230,32.93,"68,490"
NE,Anthropologists and Archeologists,40,35.71,"74,280"
NE,Historians,**,30.62,"63,690"
NE,Agricultural and Food Science Technicians,410,18.82,"39,140"
NE,Biological Technicians,340,20.12,"41,840"
NE,Chemical Technicians,320,26.80,"55,750"
NE,Geological and Petroleum Technicians,30,31.96,"66,470"
NE,Social Science Research Assistants,330,23.46,"48,800"
NE,"Environmental Science and Protection Technicians, Including Health",120,23.31,"48,480"
NE,Forensic Science Technicians,100,27.15,"56,470"
NE,Forest and Conservation Technicians,150,21.63,"44,990"
NE,"Life, Physical, and Social Science Technicians, All Other",270,27.96,"58,150"
NE,Community and Social Service Occupations,"14,170",20.38,"42,390"
NE,"Educational, Guidance, School, and Vocational Counselors","1,500",28.94,"60,200"
NE,Marriage and Family Therapists,200,23.49,"48,850"
NE,Rehabilitation Counselors,560,18.41,"38,290"
NE,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","1,630",23.97,"49,850"
NE,"Counselors, All Other",**,16.53,"34,380"
NE,"Child, Family, and School Social Workers","2,770",19.98,"41,560"
NE,Healthcare Social Workers,990,23.19,"48,230"
NE,Mental Health and Substance Abuse Social Workers,500,19.86,"41,320"
NE,"Social Workers, All Other",190,29.39,"61,120"
NE,Health Educators,600,22.41,"46,610"
NE,Probation Officers and Correctional Treatment Specialists,420,22.02,"45,810"
NE,Social and Human Service Assistants,"3,420",13.72,"28,540"
NE,Community Health Workers,450,18.36,"38,190"
NE,"Community and Social Service Specialists, All Other",470,20.47,"42,580"
NE,Clergy,350,21.66,"45,050"
NE,Legal Occupations,"5,230",39.24,"81,610"
NE,Lawyers,"2,910",52.01,"108,170"
NE,Judicial Law Clerks,50,*,*
NE,"Administrative Law Judges, Adjudicators, and Hearing Officers",80,29.33,"61,000"
NE,"Arbitrators, Mediators, and Conciliators",**,21.08,"43,840"
NE,Paralegals and Legal Assistants,"1,740",23.68,"49,250"
NE,"Title Examiners, Abstractors, and Searchers",300,18.53,"38,540"
NE,"Legal Support Workers, All Other",80,25.00,"52,010"
NE,"Education, Training, and Library Occupations","58,960",24.80,"51,590"
NE,"Business Teachers, Postsecondary",560,*,"87,190"
NE,"Computer Science Teachers, Postsecondary",180,*,"87,480"
NE,"Mathematical Science Teachers, Postsecondary",280,*,"79,380"
NE,"Engineering Teachers, Postsecondary",80,*,"104,810"
NE,"Agricultural Sciences Teachers, Postsecondary",250,*,"88,080"
NE,"Biological Science Teachers, Postsecondary",430,*,"87,040"
NE,"Chemistry Teachers, Postsecondary",140,*,"80,330"
NE,"Physics Teachers, Postsecondary",90,*,"80,240"
NE,"Economics Teachers, Postsecondary",110,*,"99,920"
NE,"Political Science Teachers, Postsecondary",90,*,"72,280"
NE,"Psychology Teachers, Postsecondary",210,*,"81,300"
NE,"Sociology Teachers, Postsecondary",100,*,"72,750"
NE,"Social Sciences Teachers, Postsecondary, All Other",50,*,"82,900"
NE,"Health Specialties Teachers, Postsecondary","1,750",*,"91,120"
NE,"Nursing Instructors and Teachers, Postsecondary",540,*,"71,400"
NE,"Education Teachers, Postsecondary",**,*,"77,180"
NE,"Criminal Justice and Law Enforcement Teachers, Postsecondary",100,*,"58,110"
NE,"Social Work Teachers, Postsecondary",60,*,"59,660"
NE,"Art, Drama, and Music Teachers, Postsecondary",440,*,"70,680"
NE,"Communications Teachers, Postsecondary",140,*,"71,140"
NE,"English Language and Literature Teachers, Postsecondary",320,*,"71,610"
NE,"Foreign Language and Literature Teachers, Postsecondary",40,*,"64,840"
NE,"History Teachers, Postsecondary",100,*,"73,050"
NE,"Philosophy and Religion Teachers, Postsecondary",120,*,"69,270"
NE,Graduate Teaching Assistants,180,*,*
NE,"Recreation and Fitness Studies Teachers, Postsecondary",90,*,"59,350"
NE,"Vocational Education Teachers, Postsecondary",710,30.18,"62,780"
NE,"Postsecondary Teachers, All Other","2,270",*,"52,410"
NE,"Preschool Teachers, Except Special Education","1,300",18.26,"37,980"
NE,"Kindergarten Teachers, Except Special Education",920,*,"59,490"
NE,"Elementary School Teachers, Except Special Education","9,920",*,"57,490"
NE,"Middle School Teachers, Except Special and Career/Technical Education","3,460",*,"60,280"
NE,"Career/Technical Education Teachers, Middle School",160,*,"63,120"
NE,"Secondary School Teachers, Except Special and Career/Technical Education","7,880",*,"57,500"
NE,"Career/Technical Education Teachers, Secondary School",450,*,"61,870"
NE,"Special Education Teachers, Preschool",150,*,"55,900"
NE,"Special Education Teachers, Kindergarten and Elementary School","1,150",*,"57,870"
NE,"Special Education Teachers, Middle School",570,*,"58,360"
NE,"Special Education Teachers, Secondary School","1,010",*,"59,490"
NE,"Special Education Teachers, All Other",70,*,"60,060"
NE,Adult Basic and Secondary Education and Literacy Teachers and Instructors,360,26.80,"55,750"
NE,Self-Enrichment Education Teachers,"2,330",17.46,"36,310"
NE,"Teachers and Instructors, All Other, Except Substitute Teachers","1,390",*,"45,770"
NE,Substitute Teachers,"3,670",17.28,"35,950"
NE,Curators,100,22.47,"46,740"
NE,Museum Technicians and Conservators,110,16.46,"34,240"
NE,Librarians,940,24.55,"51,070"
NE,Library Technicians,560,15.67,"32,590"
NE,Farm and Home Management Advisors,470,34.01,"70,730"
NE,Instructional Coordinators,530,31.19,"64,870"
NE,Teacher Assistants,"11,040",*,"26,540"
NE,"Education, Training, and Library Workers, All Other",180,22.71,"47,230"
NE,"Arts, Design, Entertainment, Sports, and Media Occupations","11,100",21.89,"45,520"
NE,Art Directors,220,43.44,"90,350"
NE,Craft Artists,50,19.63,"40,830"
NE,"Fine Artists, Including Painters, Sculptors, and Illustrators",90,22.76,"47,350"
NE,Multimedia Artists and Animators,90,24.35,"50,650"
NE,Commercial and Industrial Designers,130,32.08,"66,730"
NE,Floral Designers,370,12.84,"26,710"
NE,Graphic Designers,"1,880",23.07,"47,980"
NE,Interior Designers,250,21.73,"45,200"
NE,Merchandise Displayers and Window Trimmers,350,16.62,"34,570"
NE,Set and Exhibit Designers,80,29.05,"60,430"
NE,Producers and Directors,560,24.82,"51,620"
NE,Athletes and Sports Competitors,90,*,"67,930"
NE,Coaches and Scouts,"1,200",*,"40,870"
NE,"Umpires, Referees, and Other Sports Officials",150,*,"27,730"
NE,Music Directors and Composers,40,22.43,"46,650"
NE,Musicians and Singers,150,15.34,*
NE,Radio and Television Announcers,330,18.72,"38,940"
NE,Public Address System and Other Announcers,50,14.06,"29,240"
NE,Broadcast News Analysts,30,*,*
NE,Reporters and Correspondents,390,18.99,"39,510"
NE,Public Relations Specialists,"1,370",24.66,"51,300"
NE,Editors,460,23.04,"47,910"
NE,Technical Writers,300,29.12,"60,580"
NE,Writers and Authors,220,21.77,"45,280"
NE,Interpreters and Translators,790,21.04,"43,760"
NE,Audio and Video Equipment Technicians,290,17.92,"37,270"
NE,Broadcast Technicians,180,18.61,"38,720"
NE,Photographers,270,17.19,"35,760"
NE,"Camera Operators, Television, Video, and Motion Picture",180,*,*
NE,Film and Video Editors,120,*,*
NE,"Media and Communication Equipment Workers, All Other",110,34.75,"72,280"
NE,Healthcare Practitioners and Technical Occupations,"62,770",35.96,"74,800"
NE,Chiropractors,440,34.25,"71,230"
NE,"Dentists, General",610,64.94,"135,080"
NE,Oral and Maxillofacial Surgeons,**,128.27,"266,810"
NE,Orthodontists,**,#,#
NE,"Dentists, All Other Specialists",**,114.46,"238,080"
NE,Dietitians and Nutritionists,620,26.87,"55,900"
NE,Optometrists,530,50.00,"104,010"
NE,Pharmacists,"2,550",57.53,"119,670"
NE,Anesthesiologists,150,139.65,"290,470"
NE,Family and General Practitioners,"1,570",114.10,"237,320"
NE,"Internists, General",100,124.76,"259,500"
NE,Obstetricians and Gynecologists,120,116.03,"241,350"
NE,"Pediatricians, General",180,75.25,"156,520"
NE,Psychiatrists,110,115.47,"240,180"
NE,Surgeons,250,138.41,"287,890"
NE,"Physicians and Surgeons, All Other","2,220",77.83,"161,880"
NE,Physician Assistants,"1,190",51.30,"106,700"
NE,Podiatrists,50,105.61,"219,670"
NE,Occupational Therapists,910,36.95,"76,850"
NE,Physical Therapists,"1,590",38.52,"80,130"
NE,Radiation Therapists,140,40.03,"83,260"
NE,Recreational Therapists,230,18.95,"39,420"
NE,Respiratory Therapists,"1,000",26.71,"55,560"
NE,Speech-Language Pathologists,"1,040",33.23,"69,110"
NE,"Therapists, All Other",50,21.63,"44,980"
NE,Veterinarians,630,39.44,"82,040"
NE,Registered Nurses,"22,970",31.00,"64,470"
NE,Nurse Anesthetists,200,90.88,"189,030"
NE,Nurse Practitioners,"1,070",49.90,"103,800"
NE,Audiologists,80,32.73,"68,090"
NE,"Health Diagnosing and Treating Practitioners, All Other",160,24.67,"51,310"
NE,Clinical Laboratory Technologists and Technicians,"2,080",24.59,"51,140"
NE,Dental Hygienists,"1,180",31.67,"65,870"
NE,Cardiovascular Technologists and Technicians,430,24.21,"50,360"
NE,Diagnostic Medical Sonographers,510,30.86,"64,200"
NE,Nuclear Medicine Technologists,140,32.44,"67,470"
NE,Radiologic Technologists,"1,570",25.72,"53,490"
NE,Magnetic Resonance Imaging Technologists,180,32.31,"67,210"
NE,Emergency Medical Technicians and Paramedics,850,15.93,"33,130"
NE,Dietetic Technicians,220,15.74,"32,740"
NE,Pharmacy Technicians,"2,600",16.00,"33,270"
NE,Psychiatric Technicians,210,14.53,"30,220"
NE,Respiratory Therapy Technicians,40,22.51,"46,820"
NE,Surgical Technologists,810,21.77,"45,280"
NE,Veterinary Technologists and Technicians,810,15.96,"33,190"
NE,Ophthalmic Medical Technicians,360,17.71,"36,840"
NE,Licensed Practical and Licensed Vocational Nurses,"5,640",20.75,"43,160"
NE,Medical Records and Health Information Technicians,"1,570",19.44,"40,430"
NE,"Opticians, Dispensing",710,16.97,"35,290"
NE,Orthotists and Prosthetists,40,31.13,"64,740"
NE,Hearing Aid Specialists,**,16.25,"33,800"
NE,"Health Technologists and Technicians, All Other",410,21.81,"45,370"
NE,Occupational Health and Safety Specialists,830,32.21,"66,990"
NE,Occupational Health and Safety Technicians,180,24.91,"51,810"
NE,Athletic Trainers,220,*,"45,880"
NE,"Healthcare Practitioners and Technical Workers, All Other",90,*,*
NE,Healthcare Support Occupations,"28,160",14.80,"30,790"
NE,Home Health Aides,"2,960",11.72,"24,380"
NE,Psychiatric Aides,620,17.58,"36,580"
NE,Nursing Assistants,"14,580",13.81,"28,730"
NE,Occupational Therapy Assistants,130,28.00,"58,250"
NE,Occupational Therapy Aides,210,13.32,"27,700"
NE,Physical Therapist Assistants,790,22.71,"47,240"
NE,Physical Therapist Aides,520,13.46,"28,000"
NE,Massage Therapists,280,21.80,"45,340"
NE,Dental Assistants,"2,240",17.72,"36,860"
NE,Medical Assistants,"2,630",16.67,"34,670"
NE,Medical Equipment Preparers,340,17.05,"35,460"
NE,Medical Transcriptionists,450,16.97,"35,290"
NE,Pharmacy Aides,440,13.44,"27,950"
NE,Veterinary Assistants and Laboratory Animal Caretakers,590,13.29,"27,640"
NE,Phlebotomists,820,15.39,"32,000"
NE,"Healthcare Support Workers, All Other",**,18.50,"38,470"
NE,Protective Service Occupations,"16,260",21.50,"44,710"
NE,First-Line Supervisors of Correctional Officers,400,26.77,"55,690"
NE,First-Line Supervisors of Police and Detectives,590,39.31,"81,760"
NE,First-Line Supervisors of Fire Fighting and Prevention Workers,300,35.20,"73,220"
NE,"First-Line Supervisors of Protective Service Workers, All Other",280,24.12,"50,180"
NE,Firefighters,"1,140",23.02,"47,880"
NE,Bailiffs,60,27.11,"56,390"
NE,Correctional Officers and Jailers,"2,270",19.38,"40,310"
NE,Detectives and Criminal Investigators,340,35.33,"73,480"
NE,Police and Sheriff's Patrol Officers,"3,370",27.66,"57,530"
NE,Animal Control Workers,60,18.10,"37,650"
NE,Security Guards,"4,570",16.61,"34,550"
NE,Crossing Guards,70,11.37,"23,660"
NE,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","1,490",10.46,"21,760"
NE,Transportation Security Screeners,250,18.60,"38,700"
NE,"Protective Service Workers, All Other",570,*,*
NE,Food Preparation and Serving Related Occupations,"82,880",11.91,"24,780"
NE,Chefs and Head Cooks,510,21.24,"44,180"
NE,First-Line Supervisors of Food Preparation and Serving Workers,"6,630",14.76,"30,690"
NE,"Cooks, Fast Food","2,630",10.81,"22,490"
NE,"Cooks, Institution and Cafeteria","3,890",12.96,"26,950"
NE,"Cooks, Restaurant","6,490",13.59,"28,280"
NE,"Cooks, Short Order","2,180",12.05,"25,050"
NE,Food Preparation Workers,"3,770",11.68,"24,290"
NE,Bartenders,"4,730",10.64,"22,140"
NE,"Combined Food Preparation and Serving Workers, Including Fast Food","25,280",10.98,"22,850"
NE,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","3,380",10.43,"21,690"
NE,Waiters and Waitresses,"15,480",12.31,"25,610"
NE,"Food Servers, Nonrestaurant","1,970",11.22,"23,330"
NE,Dining Room and Cafeteria Attendants and Bartender Helpers,"1,620",10.73,"22,320"
NE,Dishwashers,"2,250",11.16,"23,200"
NE,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","1,870",10.94,"22,760"
NE,"Food Preparation and Serving Related Workers, All Other",200,12.44,"25,870"
NE,Building and Grounds Cleaning and Maintenance Occupations,"28,720",13.85,"28,800"
NE,First-Line Supervisors of Housekeeping and Janitorial Workers,"1,050",19.50,"40,550"
NE,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",890,24.33,"50,610"
NE,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","14,340",13.15,"27,350"
NE,Maids and Housekeeping Cleaners,"5,930",11.60,"24,130"
NE,"Building Cleaning Workers, All Other",**,13.50,"28,080"
NE,Pest Control Workers,290,19.38,"40,310"
NE,Landscaping and Groundskeeping Workers,"5,780",14.76,"30,690"
NE,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",200,16.77,"34,880"
NE,Tree Trimmers and Pruners,**,16.87,"35,090"
NE,Personal Care and Service Occupations,"29,960",13.24,"27,540"
NE,First-Line Supervisors of Gaming Workers,40,18.19,"37,840"
NE,First-Line Supervisors of Personal Service Workers,"1,250",18.13,"37,720"
NE,Animal Trainers,30,15.54,"32,330"
NE,Nonfarm Animal Caretakers,"1,400",12.60,"26,220"
NE,Gaming and Sports Book Writers and Runners,280,11.30,"23,510"
NE,Motion Picture Projectionists,40,12.84,"26,700"
NE,"Ushers, Lobby Attendants, and Ticket Takers",870,10.54,"21,930"
NE,Amusement and Recreation Attendants,610,10.35,"21,530"
NE,"Locker Room, Coatroom, and Dressing Room Attendants",110,10.82,"22,500"
NE,Funeral Attendants,200,14.82,"30,830"
NE,"Morticians, Undertakers, and Funeral Directors",290,33.31,"69,280"
NE,"Hairdressers, Hairstylists, and Cosmetologists","2,480",13.87,"28,850"
NE,Manicurists and Pedicurists,**,11.77,"24,480"
NE,Skincare Specialists,270,*,*
NE,Baggage Porters and Bellhops,80,11.29,"23,480"
NE,Concierges,160,13.54,"28,160"
NE,Tour and Travel Guides,200,13.08,"27,200"
NE,Childcare Workers,"9,090",11.53,"23,980"
NE,Personal Care Aides,"7,720",12.61,"26,230"
NE,Fitness Trainers and Aerobics Instructors,"2,400",15.82,"32,890"
NE,Recreation Workers,"1,420",13.14,"27,320"
NE,Residential Advisors,360,17.38,"36,160"
NE,"Personal Care and Service Workers, All Other",170,12.29,"25,560"
NE,Sales and Related Occupations,"95,410",18.45,"38,380"
NE,First-Line Supervisors of Retail Sales Workers,"8,130",19.35,"40,260"
NE,First-Line Supervisors of Non-Retail Sales Workers,"2,090",35.63,"74,100"
NE,Cashiers,"23,760",11.09,"23,060"
NE,Counter and Rental Clerks,"1,870",12.53,"26,060"
NE,Parts Salespersons,"2,270",17.78,"36,980"
NE,Retail Salespersons,"28,910",13.16,"27,380"
NE,Advertising Sales Agents,"1,120",26.30,"54,700"
NE,Insurance Sales Agents,"3,740",34.64,"72,040"
NE,"Securities, Commodities, and Financial Services Sales Agents","1,890",41.79,"86,920"
NE,Travel Agents,560,20.02,"41,650"
NE,"Sales Representatives, Services, All Other","4,610",25.36,"52,740"
NE,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","2,040",34.92,"72,630"
NE,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","10,790",29.04,"60,390"
NE,Demonstrators and Product Promoters,360,11.86,"24,670"
NE,Real Estate Brokers,200,30.91,"64,300"
NE,Real Estate Sales Agents,700,24.52,"51,010"
NE,Sales Engineers,310,40.67,"84,600"
NE,Telemarketers,"1,260",12.88,"26,800"
NE,"Sales and Related Workers, All Other",750,17.74,"36,890"
NE,Office and Administrative Support Occupations,"150,090",17.49,"36,390"
NE,First-Line Supervisors of Office and Administrative Support Workers,"9,730",26.21,"54,520"
NE,"Switchboard Operators, Including Answering Service",600,14.87,"30,930"
NE,"Communications Equipment Operators, All Other",30,18.74,"38,980"
NE,Bill and Account Collectors,"1,590",16.82,"34,990"
NE,Billing and Posting Clerks,"3,690",17.72,"36,860"
NE,"Bookkeeping, Accounting, and Auditing Clerks","10,450",18.20,"37,850"
NE,Payroll and Timekeeping Clerks,950,20.07,"41,750"
NE,Procurement Clerks,630,18.64,"38,780"
NE,Tellers,"5,470",14.24,"29,620"
NE,"Financial Clerks, All Other",260,19.62,"40,820"
NE,Brokerage Clerks,460,21.76,"45,250"
NE,"Court, Municipal, and License Clerks","1,090",18.68,"38,860"
NE,"Credit Authorizers, Checkers, and Clerks",250,18.12,"37,690"
NE,Customer Service Representatives,"20,570",17.18,"35,730"
NE,"Eligibility Interviewers, Government Programs",680,17.84,"37,100"
NE,File Clerks,670,14.54,"30,250"
NE,"Hotel, Motel, and Resort Desk Clerks","2,030",11.54,"24,010"
NE,"Interviewers, Except Eligibility and Loan","3,020",13.49,"28,050"
NE,"Library Assistants, Clerical",510,11.48,"23,890"
NE,Loan Interviewers and Clerks,"1,430",20.01,"41,610"
NE,New Accounts Clerks,630,16.57,"34,470"
NE,Order Clerks,"1,350",14.95,"31,090"
NE,"Human Resources Assistants, Except Payroll and Timekeeping",870,19.18,"39,890"
NE,Receptionists and Information Clerks,"6,220",13.85,"28,820"
NE,"Information and Record Clerks, All Other",570,19.51,"40,570"
NE,Cargo and Freight Agents,830,25.30,"52,610"
NE,Couriers and Messengers,380,13.00,"27,050"
NE,"Police, Fire, and Ambulance Dispatchers","1,040",17.99,"37,420"
NE,"Dispatchers, Except Police, Fire, and Ambulance","2,260",27.90,"58,030"
NE,"Meter Readers, Utilities",90,22.30,"46,390"
NE,Postal Service Clerks,770,22.52,"46,830"
NE,Postal Service Mail Carriers,"2,390",24.62,"51,210"
NE,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",730,23.88,"49,670"
NE,"Production, Planning, and Expediting Clerks","1,840",21.65,"45,030"
NE,"Shipping, Receiving, and Traffic Clerks","3,180",16.70,"34,740"
NE,Stock Clerks and Order Fillers,"12,290",13.62,"28,320"
NE,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",580,17.42,"36,220"
NE,Executive Secretaries and Executive Administrative Assistants,"5,220",23.25,"48,360"
NE,Legal Secretaries,"1,050",18.70,"38,900"
NE,Medical Secretaries,"2,720",16.42,"34,160"
NE,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","16,430",16.40,"34,100"
NE,Computer Operators,520,21.82,"45,380"
NE,Data Entry Keyers,"1,410",14.53,"30,230"
NE,Word Processors and Typists,140,15.93,"33,140"
NE,Desktop Publishers,80,15.85,"32,970"
NE,Insurance Claims and Policy Processing Clerks,"3,130",18.95,"39,410"
NE,"Mail Clerks and Mail Machine Operators, Except Postal Service",610,14.82,"30,830"
NE,"Office Clerks, General","16,460",14.84,"30,880"
NE,"Office Machine Operators, Except Computer",250,16.96,"35,280"
NE,Proofreaders and Copy Markers,130,16.00,"33,290"
NE,Statistical Assistants,150,20.16,"41,940"
NE,"Office and Administrative Support Workers, All Other",390,20.60,"42,860"
NE,"Farming, Fishing, and Forestry Occupations","3,450",17.00,"35,360"
NE,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",100,29.01,"60,330"
NE,Agricultural Inspectors,420,20.74,"43,140"
NE,"Graders and Sorters, Agricultural Products",260,15.08,"31,360"
NE,Agricultural Equipment Operators,870,18.76,"39,020"
NE,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",490,15.11,"31,430"
NE,"Farmworkers, Farm, Ranch, and Aquacultural Animals","1,260",14.68,"30,540"
NE,Construction and Extraction Occupations,"43,840",21.33,"44,360"
NE,First-Line Supervisors of Construction Trades and Extraction Workers,"4,510",29.59,"61,540"
NE,Boilermakers,**,36.84,"76,620"
NE,Brickmasons and Blockmasons,660,25.52,"53,080"
NE,Carpenters,"7,350",18.79,"39,080"
NE,Carpet Installers,**,24.43,"50,810"
NE,"Floor Layers, Except Carpet, Wood, and Hard Tiles",30,17.49,"36,370"
NE,Floor Sanders and Finishers,**,16.49,"34,300"
NE,Tile and Marble Setters,240,17.17,"35,700"
NE,Cement Masons and Concrete Finishers,"3,170",18.38,"38,220"
NE,Construction Laborers,"3,760",16.66,"34,660"
NE,"Paving, Surfacing, and Tamping Equipment Operators",670,17.04,"35,450"
NE,Operating Engineers and Other Construction Equipment Operators,"2,850",20.96,"43,590"
NE,Drywall and Ceiling Tile Installers,490,18.86,"39,240"
NE,Electricians,"5,310",24.26,"50,470"
NE,Glaziers,320,19.91,"41,410"
NE,"Insulation Workers, Floor, Ceiling, and Wall",160,17.77,"36,970"
NE,"Insulation Workers, Mechanical",180,26.66,"55,460"
NE,"Painters, Construction and Maintenance","1,480",16.55,"34,420"
NE,Pipelayers,180,18.44,"38,360"
NE,"Plumbers, Pipefitters, and Steamfitters","3,860",26.50,"55,110"
NE,Plasterers and Stucco Masons,50,19.09,"39,710"
NE,Reinforcing Iron and Rebar Workers,180,26.66,"55,460"
NE,Roofers,"1,110",16.05,"33,390"
NE,Sheet Metal Workers,530,23.55,"48,970"
NE,Structural Iron and Steel Workers,"1,330",19.39,"40,320"
NE,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",280,17.59,"36,580"
NE,Helpers--Carpenters,100,12.42,"25,830"
NE,Helpers--Electricians,150,16.01,"33,300"
NE,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",**,14.95,"31,090"
NE,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",270,17.17,"35,720"
NE,Helpers--Roofers,**,14.63,"30,430"
NE,Construction and Building Inspectors,380,25.83,"53,730"
NE,Fence Erectors,**,15.31,"31,840"
NE,Hazardous Materials Removal Workers,140,21.09,"43,870"
NE,Highway Maintenance Workers,"2,250",17.75,"36,920"
NE,Rail-Track Laying and Maintenance Equipment Operators,130,28.35,"58,960"
NE,Septic Tank Servicers and Sewer Pipe Cleaners,180,19.91,"41,420"
NE,Miscellaneous Construction and Related Workers,170,19.57,"40,710"
NE,"Earth Drillers, Except Oil and Gas",400,20.07,"41,740"
NE,"Roustabouts, Oil and Gas",100,22.35,"46,490"
NE,Helpers--Extraction Workers,60,*,*
NE,"Installation, Maintenance, and Repair Occupations","40,870",22.51,"46,820"
NE,"First-Line Supervisors of Mechanics, Installers, and Repairers","3,770",33.07,"68,790"
NE,"Computer, Automated Teller, and Office Machine Repairers",740,19.81,"41,210"
NE,"Radio, Cellular, and Tower Equipment Installers and Repairers",**,24.57,"51,100"
NE,"Telecommunications Equipment Installers and Repairers, Except Line Installers","1,240",25.10,"52,210"
NE,"Electric Motor, Power Tool, and Related Repairers",120,23.02,"47,880"
NE,"Electrical and Electronics Installers and Repairers, Transportation Equipment",**,30.65,"63,740"
NE,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",330,25.07,"52,140"
NE,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",100,40.37,"83,970"
NE,"Electronic Equipment Installers and Repairers, Motor Vehicles",**,17.49,"36,390"
NE,Electronic Home Entertainment Equipment Installers and Repairers,**,15.44,"32,100"
NE,Security and Fire Alarm Systems Installers,600,20.72,"43,100"
NE,Aircraft Mechanics and Service Technicians,350,22.20,"46,180"
NE,Automotive Body and Related Repairers,"1,380",20.33,"42,290"
NE,Automotive Glass Installers and Repairers,170,15.62,"32,490"
NE,Automotive Service Technicians and Mechanics,"4,830",20.38,"42,400"
NE,Bus and Truck Mechanics and Diesel Engine Specialists,"2,300",20.89,"43,460"
NE,Farm Equipment Mechanics and Service Technicians,"1,610",20.38,"42,400"
NE,"Mobile Heavy Equipment Mechanics, Except Engines","1,080",23.28,"48,420"
NE,Rail Car Repairers,750,22.19,"46,160"
NE,Motorboat Mechanics and Service Technicians,70,18.25,"37,970"
NE,Motorcycle Mechanics,90,18.15,"37,760"
