st,occupation,tot_emp,hr_mean,avg_mean
AL,Community Health Workers,760,20.59,"42,830"
AL,"Community and Social Service Specialists, All Other",210,12.80,"26,630"
AL,Clergy,450,22.66,"47,140"
AL,"Directors, Religious Activities and Education",60,41.19,"85,670"
AL,"Religious Workers, All Other",50,19.92,"41,430"
AL,Legal Occupations,"10,060",41.71,"86,770"
AL,Lawyers,"5,540",56.30,"117,100"
AL,"Administrative Law Judges, Adjudicators, and Hearing Officers",110,59.66,"124,100"
AL,"Arbitrators, Mediators, and Conciliators",50,32.78,"68,190"
AL,"Judges, Magistrate Judges, and Magistrates",580,28.74,"59,780"
AL,Paralegals and Legal Assistants,"3,000",21.89,"45,530"
AL,Court Reporters,280,19.47,"40,500"
AL,"Title Examiners, Abstractors, and Searchers",250,20.89,"43,440"
AL,"Legal Support Workers, All Other",240,26.31,"54,730"
AL,"Education, Training, and Library Occupations","103,640",23.41,"48,690"
AL,"Business Teachers, Postsecondary",840,*,"98,110"
AL,"Computer Science Teachers, Postsecondary",410,*,"92,930"
AL,"Mathematical Science Teachers, Postsecondary",670,*,"66,350"
AL,"Architecture Teachers, Postsecondary",50,*,"90,870"
AL,"Engineering Teachers, Postsecondary",530,*,"107,400"
AL,"Agricultural Sciences Teachers, Postsecondary",190,*,"88,820"
AL,"Forestry and Conservation Science Teachers, Postsecondary",50,*,"90,520"
AL,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",90,*,"86,800"
AL,"Chemistry Teachers, Postsecondary",280,*,"80,840"
AL,"Physics Teachers, Postsecondary",140,*,"85,990"
AL,"Anthropology and Archeology Teachers, Postsecondary",40,*,"75,470"
AL,"Economics Teachers, Postsecondary",130,*,"114,020"
AL,"Geography Teachers, Postsecondary",40,*,"78,650"
AL,"Political Science Teachers, Postsecondary",150,*,"76,380"
AL,"Psychology Teachers, Postsecondary",400,*,"68,660"
AL,"Sociology Teachers, Postsecondary",140,*,"68,630"
AL,"Social Sciences Teachers, Postsecondary, All Other",**,*,"81,430"
AL,"Health Specialties Teachers, Postsecondary","1,960",*,"108,310"
AL,"Nursing Instructors and Teachers, Postsecondary","1,330",*,"66,670"
AL,"Education Teachers, Postsecondary",880,*,"72,430"
AL,"Library Science Teachers, Postsecondary",110,*,"76,660"
AL,"Criminal Justice and Law Enforcement Teachers, Postsecondary",90,*,"68,230"
AL,"Law Teachers, Postsecondary",90,*,"152,430"
AL,"Social Work Teachers, Postsecondary",120,*,"70,450"
AL,"Art, Drama, and Music Teachers, Postsecondary",730,*,"65,560"
AL,"Communications Teachers, Postsecondary",250,*,"64,270"
AL,"English Language and Literature Teachers, Postsecondary",930,*,"58,690"
AL,"Foreign Language and Literature Teachers, Postsecondary",140,*,"58,720"
AL,"History Teachers, Postsecondary",350,*,"65,450"
AL,"Philosophy and Religion Teachers, Postsecondary",220,*,"63,930"
AL,Graduate Teaching Assistants,80,*,"23,740"
AL,"Home Economics Teachers, Postsecondary",90,*,"73,530"
AL,"Recreation and Fitness Studies Teachers, Postsecondary",260,*,"67,230"
AL,"Vocational Education Teachers, Postsecondary","1,750",23.36,"48,600"
AL,"Postsecondary Teachers, All Other","3,180",*,"36,330"
AL,"Preschool Teachers, Except Special Education","2,480",11.93,"24,800"
AL,"Kindergarten Teachers, Except Special Education",**,*,"44,790"
AL,"Elementary School Teachers, Except Special Education","23,850",*,"49,850"
AL,"Middle School Teachers, Except Special and Career/Technical Education","10,010",*,"50,210"
AL,"Secondary School Teachers, Except Special and Career/Technical Education","16,270",*,"51,180"
AL,"Career/Technical Education Teachers, Secondary School",**,*,"49,980"
AL,"Special Education Teachers, Preschool",140,*,"46,580"
AL,"Special Education Teachers, Kindergarten and Elementary School",820,*,"49,320"
AL,"Special Education Teachers, Middle School",380,*,"54,090"
AL,"Special Education Teachers, Secondary School",450,*,"46,810"
AL,"Special Education Teachers, All Other",50,*,"60,840"
AL,Adult Basic and Secondary Education and Literacy Teachers and Instructors,510,18.30,"38,060"
AL,Self-Enrichment Education Teachers,"1,730",20.72,"43,090"
AL,"Teachers and Instructors, All Other, Except Substitute Teachers","2,730",*,"47,060"
AL,Substitute Teachers,"8,280",9.19,"19,110"
AL,Archivists,80,24.42,"50,790"
AL,Curators,100,26.40,"54,900"
AL,Museum Technicians and Conservators,80,19.84,"41,260"
AL,Librarians,"2,370",26.19,"54,470"
AL,Library Technicians,780,15.58,"32,410"
AL,Farm and Home Management Advisors,350,27.31,"56,800"
AL,Instructional Coordinators,"1,610",34.74,"72,270"
AL,Teacher Assistants,"9,210",*,"21,190"
AL,"Education, Training, and Library Workers, All Other",**,16.70,"34,730"
